"saat","tarix1","hefte","kwh"
"11PM",2014-11-07,"пятница","0.374kwh"
"4PM",2014-12-10,"среда","0.524kwh"
"11PM",2014-09-28,"воскресенье","0.361kwh"
"6PM",2014-05-20,"вторник","1.288kwh"
"9PM",2014-05-23,"пятница","0.317kwh"
"10PM",2014-08-18,"понедельник","0.516kwh"
"12AM",2014-05-24,"суббота","0.672kwh"
"8AM",2014-08-03,"воскресенье","1.607kwh"
"5AM",2014-10-13,"понедельник","0.686kwh"
"7PM",2014-09-12,"пятница","1.197kwh"
"12AM",2014-12-15,"понедельник","0.294kwh"
"4PM",2014-04-25,"пятница","0.121kwh"
"6AM",2014-07-24,"четверг","2.448kwh"
"9AM",2014-04-22,"вторник","0.077kwh"
"6AM",2014-02-16,"воскресенье","0.912kwh"
"9PM",2014-02-23,"воскресенье","0.799kwh"
"10AM",2014-01-17,"пятница","0.688kwh"
"5AM",2014-02-14,"пятница","1.505kwh"
"5AM",2014-12-29,"понедельник","1.222kwh"
"11AM",2014-11-29,"суббота","0.227kwh"
"10PM",2014-02-23,"воскресенье","0.666kwh"
"4PM",2014-09-25,"четверг","0.333kwh"
"2PM",2014-06-19,"четверг","0.792kwh"
"1AM",2014-12-18,"четверг","0.196kwh"
"5AM",2014-10-16,"четверг","0.719kwh"
"6PM",2014-08-13,"среда","1.562kwh"
"10PM",2014-03-20,"четверг","0.424kwh"
"6AM",2014-01-31,"пятница","2.448kwh"
"5AM",2014-02-12,"среда","1.346kwh"
"3PM",2014-01-11,"суббота","1.926kwh"
"11AM",2014-10-29,"среда","0.357kwh"
"4AM",2014-11-27,"четверг","0.088kwh"
"5AM",2014-06-09,"понедельник","1.822kwh"
"4PM",2014-01-30,"четверг","0.728kwh"
"9PM",2014-07-28,"понедельник","1.555kwh"
"7PM",2014-03-27,"четверг","1.714kwh"
"10AM",2014-11-17,"понедельник","0.189kwh"
"2AM",2014-10-29,"среда","0.114kwh"
"7PM",2014-07-30,"среда","5.054kwh"
"5PM",2014-03-26,"среда","0.853kwh"
"2AM",2014-01-13,"понедельник","0.408kwh"
"12AM",2014-02-18,"вторник","40.32kwh"
"7PM",2014-08-07,"четверг","2.268kwh"
"5AM",2014-09-30,"вторник","0.693kwh"
"6AM",2014-01-25,"суббота","41.44kwh"
"10PM",2014-03-24,"понедельник","0.464kwh"
"12AM",2014-04-25,"пятница","0.077kwh"
"7AM",2014-01-29,"среда","2.034kwh"
"4PM",2014-12-12,"пятница","0.396kwh"
"7PM",2014-01-19,"воскресенье","42.88kwh"
"3PM",2014-04-29,"вторник","0.138kwh"
"11PM",2014-05-14,"среда","0.376kwh"
"10PM",2014-12-30,"вторник","0.633kwh"
"8PM",2014-06-25,"среда","2.362kwh"
"11PM",2014-10-02,"четверг","0.249kwh"
"10AM",2014-11-22,"суббота","0.227kwh"
"5PM",2014-10-17,"пятница","0.827kwh"
"9PM",2014-11-01,"суббота","0.151kwh"
"7AM",2014-12-16,"вторник","0.881kwh"
"8AM",2014-10-15,"среда","0.226kwh"
"8AM",2014-04-19,"суббота","0.359kwh"
"8AM",2014-08-15,"пятница","0.542kwh"
"2AM",2014-11-15,"суббота","0.135kwh"
"4AM",2014-03-16,"воскресенье","0.283kwh"
"1PM",2014-09-28,"воскресенье","0.441kwh"
"5PM",2014-09-19,"пятница","0.983kwh"
"4PM",2014-03-25,"вторник","0.323kwh"
"11PM",2014-01-28,"вторник","41.03kwh"
"4PM",2014-08-30,"суббота","1.004kwh"
"7AM",2014-08-01,"пятница","1.112kwh"
"3AM",2014-01-18,"суббота","0.492kwh"
"9AM",2014-12-15,"понедельник","0.337kwh"
"10PM",2014-01-21,"вторник","41.06kwh"
"1PM",2014-07-03,"четверг","1.152kwh"
"9PM",2014-03-06,"четверг","0.566kwh"
"2PM",2014-11-14,"пятница","0.157kwh"
"1PM",2014-04-20,"воскресенье","0.205kwh"
"2PM",2014-04-18,"пятница","0.104kwh"
"2AM",2014-05-14,"среда","0.152kwh"
"1PM",2014-01-05,"воскресенье","0.972kwh"
"8AM",2014-06-21,"суббота","2.083kwh"
"10AM",2014-06-18,"среда","0.634kwh"
"12AM",2014-12-27,"суббота","0.889kwh"
"3PM",2014-04-28,"понедельник","0.101kwh"
"4AM",2014-12-18,"четверг","0.264kwh"
"2AM",2014-08-15,"пятница","0.254kwh"
"6PM",2014-06-26,"четверг","2.117kwh"
"11AM",2014-09-09,"вторник","0.396kwh"
"12PM",2014-07-17,"четверг","41.38kwh"
"9PM",2014-01-12,"воскресенье","1.104kwh"
"10PM",2014-05-16,"пятница","0.571kwh"
"4AM",2014-07-11,"пятница","0.494kwh"
"3PM",2014-05-28,"среда","0.323kwh"
"12PM",2014-02-05,"среда","0.522kwh"
"7AM",2014-04-09,"среда","0.319kwh"
"11PM",2014-06-30,"понедельник","0.972kwh"
"5AM",2014-10-19,"воскресенье","0.175kwh"
"7PM",2014-12-20,"суббота","1.742kwh"
"9PM",2014-01-03,"пятница","0.712kwh"
"6AM",2014-08-20,"среда","1.195kwh"
"7AM",2014-04-22,"вторник","0.238kwh"
"4PM",2014-02-14,"пятница","0.413kwh"
"10PM",2014-07-25,"пятница","1.495kwh"
"7AM",2014-04-25,"пятница","40.30kwh"
"3AM",2014-12-26,"пятница","0.224kwh"
"2AM",2014-06-28,"суббота","0.589kwh"
"5AM",2014-12-10,"среда","1.077kwh"
"3AM",2014-03-24,"понедельник","0.176kwh"
"2PM",2014-09-29,"понедельник","0.272kwh"
"7AM",2014-01-19,"воскресенье","2.112kwh"
"7PM",2014-05-29,"четверг","41.57kwh"
"11PM",2014-08-25,"понедельник","0.564kwh"
"8AM",2014-07-17,"четверг","40.95kwh"
"2PM",2014-08-28,"четверг","0.514kwh"
"2AM",2014-10-19,"воскресенье","0.191kwh"
"2AM",2014-09-27,"суббота","0.231kwh"
"5AM",2014-04-17,"четверг","0.389kwh"
"7AM",2014-01-11,"суббота","2.016kwh"
"2PM",2014-09-21,"воскресенье","0.616kwh"
"8AM",2014-01-29,"среда","0.824kwh"
"1AM",2014-03-20,"четверг","0.142kwh"
"5AM",2014-07-18,"пятница","2.482kwh"
"5AM",2014-12-06,"суббота","0.327kwh"
"11AM",2014-01-18,"суббота","41.20kwh"
"2AM",2014-01-25,"суббота","40.48kwh"
"9PM",2014-08-18,"понедельник","0.691kwh"
"3PM",2014-03-13,"четверг","0.275kwh"
"6PM",2014-01-14,"вторник","42.52kwh"
"1AM",2014-05-26,"понедельник","40.19kwh"
"8AM",2014-05-31,"суббота","0.926kwh"
"10AM",2014-07-19,"суббота","1.526kwh"
"10AM",2014-10-14,"вторник","0.235kwh"
"9PM",2014-06-15,"воскресенье","1.069kwh"
"3AM",2014-10-01,"среда","0.142kwh"
"1AM",2014-08-30,"суббота","0.374kwh"
"8AM",2014-05-13,"вторник","0.333kwh"
"4AM",2014-01-28,"вторник","0.448kwh"
"7AM",2014-08-16,"суббота","1.512kwh"
"11AM",2014-03-21,"пятница","40.36kwh"
"9PM",2014-12-05,"пятница","0.427kwh"
"10AM",2014-08-25,"понедельник","0.523kwh"
"11AM",2014-08-22,"пятница","40.48kwh"
"2AM",2014-06-24,"вторник","40.40kwh"
"9AM",2014-05-19,"понедельник","0.281kwh"
"2AM",2014-12-17,"среда","40.20kwh"
"10PM",2014-03-16,"воскресенье","0.348kwh"
"5AM",2014-10-31,"пятница","40.62kwh"
"3PM",2014-05-20,"вторник","0.294kwh"
"12AM",2014-05-18,"воскресенье","40.73kwh"
"12PM",2014-09-04,"четверг","0.347kwh"
"8PM",2014-09-16,"вторник","1.221kwh"
"5AM",2014-09-27,"суббота","0.208kwh"
"6PM",2014-05-11,"воскресенье","1.368kwh"
"1PM",2014-05-10,"суббота","0.514kwh"
"6AM",2014-05-16,"пятница","1.085kwh"
"5AM",2014-04-23,"среда","40.37kwh"
"7AM",2014-11-03,"понедельник","0.486kwh"
"1PM",2014-07-24,"четверг","0.912kwh"
"11AM",2014-12-25,"четверг","0.638kwh"
"3PM",2014-10-13,"понедельник","0.264kwh"
"3PM",2014-01-13,"понедельник","0.656kwh"
"7AM",2014-05-27,"вторник","0.626kwh"
"12PM",2014-08-20,"среда","0.666kwh"
"9AM",2014-03-13,"четверг","0.197kwh"
"5PM",2014-05-15,"четверг","0.988kwh"
"4PM",2014-09-30,"вторник","40.28kwh"
"10AM",2014-10-18,"суббота","0.418kwh"
"9AM",2014-09-21,"воскресенье","0.554kwh"
"10AM",2014-09-27,"суббота","0.424kwh"
"9PM",2014-09-30,"вторник","0.428kwh"
"1AM",2014-02-23,"воскресенье","0.389kwh"
"3AM",2014-06-27,"пятница","0.356kwh"
"4AM",2014-10-14,"вторник","0.132kwh"
"9AM",2014-01-23,"четверг","0.636kwh"
"4PM",2014-08-19,"вторник","0.485kwh"
"4PM",2014-12-28,"воскресенье","40.96kwh"
"10AM",2014-12-10,"среда","0.378kwh"
"7AM",2014-01-21,"вторник","2.106kwh"
"1AM",2014-01-30,"четверг","0.324kwh"
"1PM",2014-04-23,"среда","0.121kwh"
"1PM",2014-06-24,"вторник","0.691kwh"
"7AM",2014-12-29,"понедельник","0.901kwh"
"6PM",2014-11-16,"воскресенье","0.972kwh"
"9PM",2014-07-10,"четверг","1.426kwh"
"2PM",2014-07-21,"понедельник","0.912kwh"
"5PM",2014-08-20,"среда","1.451kwh"
"1AM",2014-05-25,"воскресенье","0.288kwh"
"11AM",2014-02-27,"четверг","0.606kwh"
"9AM",2014-03-05,"среда","0.199kwh"
"11AM",2014-05-30,"пятница","40.46kwh"
"11PM",2014-12-29,"понедельник","40.66kwh"
"5AM",2014-02-17,"понедельник","1.056kwh"
"6PM",2014-04-11,"пятница","0.386kwh"
"9PM",2014-09-19,"пятница","0.258kwh"
"2AM",2014-05-04,"воскресенье","0.202kwh"
"3PM",2014-02-26,"среда","0.562kwh"
"12PM",2014-04-30,"среда","0.162kwh"
"12PM",2014-07-31,"четверг","1.044kwh"
"2AM",2014-10-16,"четверг","0.103kwh"
"6PM",2014-03-20,"четверг","41.12kwh"
"4PM",2014-09-26,"пятница","0.333kwh"
"9AM",2014-11-03,"понедельник","0.153kwh"
"9PM",2014-04-29,"вторник","0.157kwh"
"1AM",2014-11-18,"вторник","0.102kwh"
"6AM",2014-03-14,"пятница","0.893kwh"
"10PM",2014-06-24,"вторник","40.81kwh"
"8AM",2014-10-30,"четверг","0.192kwh"
"6AM",2014-07-30,"среда","3.312kwh"
"9AM",2014-09-27,"суббота","0.561kwh"
"1AM",2014-11-17,"понедельник","40.08kwh"
"4PM",2014-05-28,"среда","0.282kwh"
"1AM",2014-08-27,"среда","0.238kwh"
"4AM",2014-02-23,"воскресенье","0.353kwh"
"4PM",2014-03-20,"четверг","0.269kwh"
"3PM",2014-06-20,"пятница","0.778kwh"
"2PM",2014-06-18,"среда","0.749kwh"
"3AM",2014-04-27,"воскресенье","0.101kwh"
"5PM",2014-01-22,"среда","2.288kwh"
"2PM",2014-08-21,"четверг","0.523kwh"
"6AM",2014-12-23,"вторник","1.056kwh"
"2PM",2014-01-11,"суббота","41.44kwh"
"4PM",2014-11-20,"четверг","0.203kwh"
"10PM",2014-11-29,"суббота","0.187kwh"
"2PM",2014-05-20,"вторник","0.381kwh"
"3PM",2014-02-16,"воскресенье","41.21kwh"
"5AM",2014-09-01,"понедельник","0.747kwh"
"3PM",2014-02-23,"воскресенье","0.896kwh"
"7AM",2014-10-27,"понедельник","0.481kwh"
"11AM",2014-04-15,"вторник","0.162kwh"
"9PM",2014-06-17,"вторник","1.026kwh"
"10AM",2014-12-24,"среда","0.488kwh"
"6AM",2014-09-29,"понедельник","0.739kwh"
"12AM",2014-11-07,"пятница","0.112kwh"
"6AM",2014-10-21,"вторник","0.626kwh"
"5AM",2014-05-18,"воскресенье","0.278kwh"
"2AM",2014-12-23,"вторник","0.205kwh"
"6PM",2014-08-04,"понедельник","1.596kwh"
"7PM",2014-09-11,"четверг","1.008kwh"
"5AM",2014-07-19,"суббота","0.598kwh"
"5AM",2014-01-19,"воскресенье","0.522kwh"
"9AM",2014-10-09,"четверг","0.212kwh"
"1AM",2014-10-16,"четверг","0.132kwh"
"6AM",2014-11-03,"понедельник","0.513kwh"
"2AM",2014-02-27,"четверг","0.266kwh"
"3AM",2014-03-20,"четверг","0.192kwh"
"8PM",2014-06-28,"суббота","3.305kwh"
"5PM",2014-06-30,"понедельник","2.246kwh"
"9AM",2014-10-21,"вторник","0.216kwh"
"1PM",2014-09-22,"понедельник","0.269kwh"
"10AM",2014-05-14,"среда","0.362kwh"
"3AM",2014-02-14,"пятница","0.247kwh"
"10AM",2014-05-20,"вторник","0.336kwh"
"7PM",2014-02-17,"понедельник","1.879kwh"
"5AM",2014-03-30,"воскресенье","0.242kwh"
"7PM",2014-07-28,"понедельник","5.011kwh"
"7PM",2014-03-23,"воскресенье","1.224kwh"
"3AM",2014-07-30,"среда","0.542kwh"
"1AM",2014-04-19,"суббота","40.10kwh"
"4PM",2014-03-22,"суббота","40.59kwh"
"5AM",2014-07-20,"воскресенье","0.619kwh"
"10AM",2014-05-21,"среда","0.266kwh"
"4PM",2014-03-18,"вторник","0.259kwh"
"12PM",2014-10-30,"четверг","0.291kwh"
"10PM",2014-04-17,"четверг","0.137kwh"
"4PM",2014-01-23,"четверг","0.768kwh"
"3AM",2014-01-11,"суббота","0.612kwh"
"4AM",2014-02-19,"среда","0.266kwh"
"7PM",2014-03-28,"пятница","1.512kwh"
"6AM",2014-12-04,"четверг","1.478kwh"
"4PM",2014-12-14,"воскресенье","41.01kwh"
"1PM",2014-02-25,"вторник","40.48kwh"
"5PM",2014-12-25,"четверг","1.401kwh"
"1AM",2014-02-16,"воскресенье","0.414kwh"
"11AM",2014-10-13,"понедельник","0.297kwh"
"11PM",2014-09-15,"понедельник","0.333kwh"
"5PM",2014-08-13,"среда","41.31kwh"
"8PM",2014-06-15,"воскресенье","3.337kwh"
"2AM",2014-01-27,"понедельник","40.40kwh"
"2AM",2014-05-31,"суббота","0.252kwh"
"1AM",2014-04-22,"вторник","0.064kwh"
"6AM",2014-05-13,"вторник","0.883kwh"
"8PM",2014-01-10,"пятница","3.392kwh"
"4AM",2014-02-17,"понедельник","0.262kwh"
"7PM",2014-12-22,"понедельник","1.742kwh"
"4AM",2014-07-13,"воскресенье","0.626kwh"
"8PM",2014-10-31,"пятница","1.133kwh"
"9PM",2014-10-23,"четверг","0.292kwh"
"7AM",2014-10-18,"суббота","0.814kwh"
"12AM",2014-07-18,"пятница","40.77kwh"
"10AM",2014-02-11,"вторник","0.533kwh"
"2AM",2014-02-10,"понедельник","0.238kwh"
"12PM",2014-06-17,"вторник","0.801kwh"
"5PM",2014-02-22,"суббота","0.918kwh"
"3PM",2014-02-18,"вторник","0.456kwh"
"12PM",2014-06-03,"вторник","0.828kwh"
"10PM",2014-02-18,"вторник","40.60kwh"
"3AM",2014-12-24,"среда","0.205kwh"
"3PM",2014-03-23,"воскресенье","0.727kwh"
"11AM",2014-12-26,"пятница","0.462kwh"
"9AM",2014-07-25,"пятница","0.857kwh"
"1AM",2014-07-12,"суббота","0.864kwh"
"6PM",2014-08-02,"суббота","2.009kwh"
"12AM",2014-07-11,"пятница","0.684kwh"
"10AM",2014-07-18,"пятница","40.97kwh"
"3AM",2014-05-11,"воскресенье","0.262kwh"
"3AM",2014-02-23,"воскресенье","0.349kwh"
"9AM",2014-06-16,"понедельник","0.513kwh"
"10AM",2014-04-19,"суббота","0.169kwh"
"11PM",2014-02-10,"понедельник","0.666kwh"
"10PM",2014-10-15,"среда","0.252kwh"
"5PM",2014-10-07,"вторник","40.78kwh"
"4PM",2014-12-16,"вторник","0.361kwh"
"10AM",2014-06-29,"воскресенье","0.918kwh"
"12PM",2014-10-18,"суббота","0.385kwh"
"8AM",2014-11-25,"вторник","0.189kwh"
"4PM",2014-02-06,"четверг","0.494kwh"
"9PM",2014-01-30,"четверг","41.20kwh"
"5AM",2014-05-05,"понедельник","0.933kwh"
"9AM",2014-11-15,"суббота","0.458kwh"
"2PM",2014-05-31,"суббота","0.595kwh"
"4AM",2014-08-22,"пятница","0.211kwh"
"10AM",2014-08-29,"пятница","0.557kwh"
"10PM",2014-10-27,"понедельник","0.309kwh"
"7AM",2014-11-10,"понедельник","0.478kwh"
"12PM",2014-07-23,"среда","1.128kwh"
"11AM",2014-09-17,"среда","0.406kwh"
"12PM",2014-08-18,"понедельник","0.618kwh"
"7PM",2014-11-27,"четверг","0.753kwh"
"7PM",2014-03-01,"суббота","1.584kwh"
"5PM",2014-10-23,"четверг","0.655kwh"
"9PM",2014-07-16,"среда","1.238kwh"
"1PM",2014-09-12,"пятница","0.288kwh"
"1PM",2014-01-29,"среда","0.664kwh"
"3PM",2014-09-19,"пятница","0.269kwh"
"7PM",2014-06-29,"воскресенье","3.532kwh"
"10PM",2014-01-07,"вторник","41.09kwh"
"10PM",2014-01-13,"понедельник","40.99kwh"
"6PM",2014-02-20,"четверг","1.898kwh"
"5AM",2014-07-08,"вторник","2.798kwh"
"5AM",2014-11-18,"вторник","0.416kwh"
"4PM",2014-10-13,"понедельник","0.233kwh"
"3PM",2014-07-11,"пятница","0.768kwh"
"5AM",2014-10-26,"воскресенье","0.162kwh"
"10AM",2014-12-02,"вторник","0.418kwh"
"12AM",2014-01-10,"пятница","40.72kwh"
"5AM",2014-02-26,"среда","1.307kwh"
"12AM",2014-07-25,"пятница","0.662kwh"
"3AM",2014-10-17,"пятница","0.142kwh"
"6AM",2014-08-10,"воскресенье","1.123kwh"
"9PM",2014-12-17,"среда","0.686kwh"
"1PM",2014-03-17,"понедельник","0.272kwh"
"1AM",2014-11-27,"четверг","40.10kwh"
"10PM",2014-02-24,"понедельник","0.522kwh"
"4AM",2014-05-29,"четверг","0.178kwh"
"8AM",2014-09-02,"вторник","0.238kwh"
"1AM",2014-10-10,"пятница","0.128kwh"
"7PM",2014-06-25,"среда","2.689kwh"
"10PM",2014-01-16,"четверг","40.86kwh"
"12PM",2014-10-24,"пятница","0.309kwh"
"12PM",2014-08-10,"воскресенье","0.583kwh"
"4AM",2014-03-20,"четверг","0.138kwh"
"10PM",2014-02-11,"вторник","0.606kwh"
"10PM",2014-08-11,"понедельник","0.504kwh"
"2PM",2014-10-14,"вторник","0.257kwh"
"12AM",2014-05-21,"среда","0.211kwh"
"11AM",2014-05-26,"понедельник","0.408kwh"
"7PM",2014-02-26,"среда","2.009kwh"
"2PM",2014-09-01,"понедельник","0.291kwh"
"12PM",2014-01-23,"четверг","40.95kwh"
"9AM",2014-02-12,"среда","0.392kwh"
"2AM",2014-11-03,"понедельник","0.095kwh"
"11AM",2014-05-21,"среда","0.468kwh"
"9AM",2014-01-26,"воскресенье","1.656kwh"
"6AM",2014-11-25,"вторник","0.605kwh"
"5AM",2014-12-28,"воскресенье","40.32kwh"
"3PM",2014-01-17,"пятница","40.64kwh"
"11PM",2014-12-12,"пятница","1.232kwh"
"2AM",2014-02-24,"понедельник","0.226kwh"
"10PM",2014-02-12,"среда","40.48kwh"
"11AM",2014-11-21,"пятница","40.18kwh"
"9PM",2014-03-27,"четверг","0.518kwh"
"2AM",2014-06-22,"воскресенье","0.643kwh"
"9AM",2014-02-19,"среда","0.396kwh"
"9AM",2014-07-27,"воскресенье","1.836kwh"
"11AM",2014-04-01,"вторник","0.134kwh"
